0: IMG_2373
focal_length:	3136.000
#sift count:	9794

137: IMG_2510
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10793

138: IMG_2511
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9733

139: IMG_2512
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9213

140: IMG_2513
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9569

141: IMG_2514
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10856

142: IMG_2515
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9780

143: IMG_2516
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10097

144: IMG_2517
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11744

145: IMG_2518
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8571

**************************************
Change the number of pixel-loaded images by 
modifying param_visual_data_budget in nv.ini
Use the PAUSE button to skip the pixel loading
**************************************
Loading image pixel data ...done in 45s

Run full 3D reconstruction, begin...
369 pairs have two-view models
1020 pairs have fundamental matrices
Initialize with IMG_2409 and IMG_2410
1868 3D points initialized from two images
PBA library version = 105
PBA: 1868 3D pts, 2 cams and 3736 projs...
PBA: 2.694 -> 0.451 (100 LMs in 0.99sec)
Focal Length : [3136.000]->[3019.439]
Focal Length : [3136.000]->[3036.462]

#############################
#3: [IMG_2411] sees 1415 (+2028) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 617 projs (0 pts and 0 merges)
PBA: 1868 3D pts, 3 cams and 4353 projs...
PBA: 17.302 -> 0.792 (66 LMs in 0.83sec)

**************************************
#3/3:  4601 projs and 1727 pts added.
PBA: 3339 3D pts, 3 cams and 7825 projs...
PBA: 2.436 -> 0.996 (21 LMs in 0.32sec)
PBA: 3339 3D pts, 3 cams and 7825 projs...
PBA: 0.996 -> 0.996 (5 LMs in 0.06sec)
Focal Length : [3136.000]->[3264.964]
Radial Distortion : [-0.018 -> -14]

#############################
#4: [IMG_2412] sees 1663 (+2370) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 870 projs (0 pts and 0 merges)
PBA: 3219 3D pts, 4 cams and 8455 projs...
PBA: 9.842 -> 1.328 (31 LMs in 0.68sec)
#points w/ large errors:	30
Focal Length : [3136.000]->[3282.375]
Radial Distortion : [-0.020 -> -16]

#############################
#5: [IMG_2413] sees 1014 (+3179) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 634 projs (0 pts and 0 merges)
PBA: 3204 3D pts, 5 cams and 9044 projs...
PBA: 5.393 -> 1.507 (18 LMs in 0.32sec)
#points w/ large errors:	18

**************************************
#5/5:  9461 projs and 3794 pts added.
PBA: 6971 3D pts, 5 cams and 17812 projs...
PBA: 2.569 -> 1.370 (26 LMs in 0.54sec)
#points w/ large errors:	3
PBA: 6968 3D pts, 5 cams and 17802 projs...
PBA: 1.366 -> 1.366 (12 LMs in 0.25sec)
Focal Length : [3136.000]->[3290.787]
Radial Distortion : [-0.020 -> -15]

#############################
#6: [IMG_2414] sees 1953 (+2227) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 1100 projs (0 pts and 0 merges)
PBA: 6861 3D pts, 6 cams and 18688 projs...
PBA: 6.184 -> 1.693 (39 LMs in 0.72sec)
#points w/ large errors:	105
Focal Length : [3136.000]->[3174.178]
Radial Distortion : [-0.014 -> -12]

#############################
#7: [IMG_2415] sees 1082 (+3276) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 590 projs (0 pts and 0 merges)
PBA: 6765 3D pts, 7 cams and 18950 projs...
PBA: 3.599 -> 1.629 (16 LMs in 0.35sec)
#points w/ large errors:	34

**************************************
#7/7:  7929 projs and 3115 pts added.
PBA: 9844 3D pts, 7 cams and 26146 projs...
PBA: 4.832 -> 2.073 (19 LMs in 0.37sec)
#points w/ large errors:	28
PBA: 9816 3D pts, 7 cams and 26048 projs...
PBA: 2.045 -> 2.043 (17 LMs in 0.35sec)
#points w/ large errors:	10
Focal Length : [3136.000]->[3238.461]
Radial Distortion : [-0.021 -> -17]

#############################
#8: [IMG_2416] sees 2768 (+2801) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 5358 projs (1826 pts and 5 merges)
PBA: 6419 3D pts, 8 cams and 20951 projs...
PBA: 6.976 -> 2.473 (18 LMs in 0.46sec)
#points w/ large errors:	236
Focal Length : [3136.000]->[3221.418]
Radial Distortion : [-0.020 -> -16]

#############################
#9: [IMG_2417] sees 1989 (+1734) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 3054 projs (863 pts and 2 merges)
PBA: 5918 3D pts, 9 cams and 21035 projs...
PBA: 6.306 -> 2.447 (24 LMs in 0.41sec)
#points w/ large errors:	141

**************************************
#9/9:  3650 projs and 1040 pts added.
PBA: 12217 3D pts, 9 cams and 33618 projs...
PBA: 1.831 -> 1.719 (13 LMs in 0.26sec)
#points w/ large errors:	14
PBA: 12203 3D pts, 9 cams and 33562 projs...
PBA: 1.707 -> 1.707 (24 LMs in 0.59sec)
#points w/ large errors:	2
Focal Length : [3136.000]->[3217.244]
Radial Distortion : [-0.018 -> -15]

#############################
#10: [IMG_2418] sees 1626 (+1719) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 2883 projs (950 pts and 2 merges)
PBA: 6344 3D pts, 10 cams and 22829 projs...
PBA: 5.968 -> 2.392 (16 LMs in 0.40sec)
#points w/ large errors:	93
Focal Length : [3136.000]->[3225.204]
Radial Distortion : [-0.015 -> -12]

#############################
#11: [IMG_2419] sees 1020 (+1414) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 375 projs (0 pts and 0 merges)
PBA: 5607 3D pts, 11 cams and 21564 projs...
PBA: 3.355 -> 2.375 (17 LMs in 0.29sec)
#points w/ large errors:	59
Focal Length : [3136.000]->[3248.076]
Radial Distortion : [-0.014 -> -11]

#############################
#12: [IMG_2420] sees 450 (+2382) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 237 projs (0 pts and 0 merges)
PBA: 5579 3D pts, 12 cams and 21619 projs...
PBA: 2.721 -> 2.272 (18 LMs in 0.49sec)
#points w/ large errors:	33

**************************************
#12/12:  6503 projs and 2562 pts added.
PBA: 15355 3D pts, 12 cams and 42230 projs...
PBA: 4.018 -> 1.805 (21 LMs in 0.51sec)
#points w/ large errors:	17
PBA: 15338 3D pts, 12 cams and 42169 projs...
PBA: 1.795 -> 1.795 (18 LMs in 0.72sec)
#points w/ large errors:	3
Focal Length : [3136.000]->[3289.080]
Radial Distortion : [-0.022 -> -17]

#############################
#13: [IMG_2421] sees 1447 (+1502) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 470 projs (0 pts and 0 merges)
PBA: 6414 3D pts, 13 cams and 24783 projs...
PBA: 3.736 -> 2.516 (21 LMs in 0.79sec)
#points w/ large errors:	216
Focal Length : [3136.000]->[3359.219]
Radial Distortion : [-0.042 -> -31]

#############################
#14: [IMG_2422] sees 807 (+2323) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 351 projs (0 pts and 0 merges)
PBA: 6353 3D pts, 14 cams and 24772 projs...
PBA: 3.259 -> 2.401 (31 LMs in 1.19sec)
#points w/ large errors:	48
Focal Length : [3136.000]->[3303.240]
Radial Distortion : [-0.026 -> -20]

#############################
#15: [IMG_2423] sees 597 (+2644) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 218 projs (0 pts and 0 merges)
PBA: 6339 3D pts, 15 cams and 24890 projs...
PBA: 3.206 -> 2.397 (19 LMs in 0.78sec)
#points w/ large errors:	47
Focal Length : [3136.000]->[3312.370]
Radial Distortion : [-0.024 -> -19]

#############################
#16: [IMG_2408] sees 1806 (+1793) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 2812 projs (836 pts and 9 merges)
PBA: 7604 3D pts, 16 cams and 28446 projs...
PBA: 4.763 -> 2.367 (25 LMs in 1.26sec)
#points w/ large errors:	109

**************************************
#16/16:  12852 projs and 4559 pts added.
PBA: 19151 3D pts, 16 cams and 53876 projs...
PBA: 7.627 -> 2.221 (21 LMs in 1.95sec)
#points w/ large errors:	86
PBA: 19065 3D pts, 16 cams and 53462 projs...
PBA: 2.163 -> 2.160 (24 LMs in 2.03sec)
#points w/ large errors:	23
Focal Length : [3136.000]->[3223.316]
Radial Distortion : [-0.023 -> -19]

#############################
#17: [IMG_2407] sees 1273 (+1717) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 2771 projs (918 pts and 3 merges)
PBA: 9382 3D pts, 17 cams and 34964 projs...
PBA: 4.785 -> 2.815 (25 LMs in 1.47sec)
#points w/ large errors:	538
Focal Length : [3136.000]->[3251.598]
Radial Distortion : [-0.028 -> -22]

#############################
#18: [IMG_2406] sees 1697 (+2347) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 3738 projs (1298 pts and 0 merges)
PBA: 9850 3D pts, 18 cams and 36345 projs...
PBA: 6.576 -> 2.399 (29 LMs in 2.09sec)
#points w/ large errors:	117
Focal Length : [3136.000]->[3283.839]
Radial Distortion : [-0.027 -> -21]

#############################
#19: [IMG_2405] sees 1738 (+2233) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 828 projs (0 pts and 1 merges)
PBA: 8913 3D pts, 19 cams and 35091 projs...
PBA: 4.387 -> 2.504 (28 LMs in 2.16sec)
#points w/ large errors:	89
Focal Length : [3136.000]->[3251.242]
Radial Distortion : [-0.008 -> -6]

#############################
#20: [IMG_2404] sees 859 (+1870) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 3106 projs (1215 pts and 0 merges)
PBA: 10106 3D pts, 20 cams and 38023 projs...
PBA: 7.362 -> 2.544 (20 LMs in 1.66sec)
#points w/ large errors:	73
Focal Length : [3136.000]->[3246.308]
Radial Distortion : [-0.044 -> -35]

#############################
#21: [IMG_2403] sees 1262 (+1996) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 630 projs (0 pts and 1 merges)
SKIP: 0 cams, 81 points, 303 projs
PBA: 21197 3D pts, 20 cams and 60692 projs...
PBA: 2.635 -> 1.899 (5 LMs in 0.54sec)
#points w/ large errors:	152

**************************************
#21/21:  7119 projs and 2561 pts added.
PBA: 23547 3D pts, 21 cams and 66635 projs...
PBA: 3.268 -> 2.196 (31 LMs in 2.53sec)
#points w/ large errors:	93
PBA: 23454 3D pts, 21 cams and 66325 projs...
PBA: 2.159 -> 2.157 (21 LMs in 1.90sec)
#points w/ large errors:	8
Focal Length : [3136.000]->[3259.474]
Radial Distortion : [-0.017 -> -14]

#############################
#22: [IMG_2402] sees 1486 (+1662) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 710 projs (0 pts and 0 merges)
SKIP: 0 cams, 1282 points, 2389 projs
PBA: 22019 3D pts, 20 cams and 64152 projs...
PBA: 3.345 -> 2.278 (5 LMs in 0.26sec)
#points w/ large errors:	390
Focal Length : [3136.000]->[3239.714]
Radial Distortion : [-0.010 -> -8]

#############################
#23: [IMG_2401] sees 903 (+2693) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 465 projs (0 pts and 0 merges)
SKIP: 0 cams, 2364 points, 5217 projs
PBA: 20950 3D pts, 20 cams and 61784 projs...
PBA: 2.690 -> 2.055 (5 LMs in 0.36sec)
#points w/ large errors:	130
Focal Length : [3136.000]->[3237.528]
Radial Distortion : [-0.028 -> -23]

#############################
#24: [IMG_2400] sees 501 (+2809) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 286 projs (0 pts and 0 merges)
SKIP: 0 cams, 2956 points, 5754 projs
PBA: 20364 3D pts, 20 cams and 60270 projs...
PBA: 2.263 -> 2.031 (5 LMs in 0.45sec)
#points w/ large errors:	58
Focal Length : [3136.000]->[3230.036]
Radial Distortion : [-0.038 -> -30]

#############################
#25: [IMG_2399] sees 373 (+3185) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 180 projs (0 pts and 0 merges)
SKIP: 0 cams, 5018 points, 10555 projs
PBA: 18302 3D pts, 20 cams and 55173 projs...
PBA: 2.189 -> 2.081 (5 LMs in 0.67sec)
#points w/ large errors:	35
Focal Length : [3136.000]->[3217.733]
Radial Distortion : [-0.045 -> -36]

#############################
#26: [IMG_2424] sees 1357 (+1595) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 489 projs (0 pts and 1 merges)
PBA: 9976 3D pts, 26 cams and 40548 projs...
PBA: 4.109 -> 2.593 (25 LMs in 1.58sec)
#points w/ large errors:	96
Focal Length : [3136.000]->[3360.744]
Radial Distortion : [-0.015 -> -12]

#############################
#27: [IMG_2425] sees 1182 (+1913) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 466 projs (0 pts and 0 merges)
SKIP: 0 cams, 7247 points, 16366 projs
PBA: 15878 3D pts, 20 cams and 49512 projs...
PBA: 2.923 -> 2.094 (5 LMs in 0.46sec)
#points w/ large errors:	38

**************************************
#27/27:  17668 projs and 6432 pts added.
PBA: 28671 3D pts, 27 cams and 82363 projs...
PBA: 5.403 -> 2.462 (25 LMs in 5.18sec)
#points w/ large errors:	87
PBA: 28584 3D pts, 27 cams and 81922 projs...
PBA: 2.426 -> 2.425 (21 LMs in 4.12sec)
#points w/ large errors:	15
Focal Length : [3136.000]->[3332.435]
Radial Distortion : [-0.030 -> -22]

#############################
#28: [IMG_2426] sees 1678 (+1620) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 812 projs (0 pts and 1 merges)
SKIP: 0 cams, 8682 points, 21809 projs
PBA: 19899 3D pts, 20 cams and 60743 projs...
PBA: 4.027 -> 2.992 (5 LMs in 0.25sec)
#points w/ large errors:	828
Focal Length : [3136.000]->[3291.699]
Radial Distortion : [-0.058 -> -45]

#############################
#29: [IMG_2427] sees 1138 (+2072) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 545 projs (0 pts and 0 merges)
SKIP: 0 cams, 10733 points, 28476 projs
PBA: 17846 3D pts, 20 cams and 54530 projs...
PBA: 3.224 -> 2.564 (5 LMs in 0.36sec)
#points w/ large errors:	192
Focal Length : [3136.000]->[3298.802]
Radial Distortion : [-0.012 -> -9]

#############################
#30: [IMG_2428] sees 984 (+2934) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 398 projs (0 pts and 0 merges)
SKIP: 0 cams, 11883 points, 29379 projs
PBA: 16698 3D pts, 20 cams and 51113 projs...
PBA: 2.825 -> 2.461 (5 LMs in 0.76sec)
#points w/ large errors:	94
Focal Length : [3136.000]->[3311.482]
Radial Distortion : [-0.030 -> -23]

#############################
#31: [IMG_2429] sees 560 (+2326) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 200 projs (0 pts and 0 merges)
SKIP: 0 cams, 13120 points, 32511 projs
PBA: 15461 3D pts, 20 cams and 47361 projs...
PBA: 2.668 -> 2.429 (5 LMs in 0.71sec)
#points w/ large errors:	70
Focal Length : [3136.000]->[3406.355]
Radial Distortion : [-0.054 -> -39]

#############################
#32: [IMG_2430] sees 397 (+2607) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 189 projs (0 pts and 0 merges)
PBA: 11785 3D pts, 32 cams and 48118 projs...
PBA: 2.852 -> 2.655 (24 LMs in 4.10sec)
#points w/ large errors:	123
Focal Length : [3136.000]->[3350.280]
Radial Distortion : [-0.004 -> -3]

#############################
#33: [IMG_2398] sees 1902 (+3549) 3D points
Focal Length in EXIF  [3136.000]
Estimated Focal Length [3136][0.78N]
# 3974 projs (1371 pts and 1 merges)
SKIP: 0 cams, 13376 points, 35735 projs
PBA: 15172 3D pts, 20 cams and 47305 projs...
PBA: 4.815 -> 2.330 (5 LMs in 0.72sec)
#points w/ large errors:	41
Focal Length : [3136.000]->[3234.381]
Radial Distortion : [-0.019 -> -15]

#############################
#34: [IMG_2397] sees 2014 (+2311) 3D points
Focal Length in EXIF  [3136.000]
